Tier,Site,Listing for (practice or provider name),Link to listing,Claimed? (Y/N),Name matches? (Y/N),Address matches? (Y/N),Phone matches? (Y/N),Hours match? (Y/N),Website matches? (Y/N),What is wrong,Login owner (role only - never passwords),Action taken,Date submitted,Date confirmed fixed,Next check
EXAMPLE (fictional),Google Business Profile,Example Family Pediatrics,https://maps.google.com/...,Y,Y,N,Y,Y,Y,Shows Suite 100 instead of Suite 200,Practice manager,Edited address in profile,2026-09-23,,2026-12-23
1,Google Business Profile,[PRACTICE NAME],,,,,,,,,,,,,
1,Google Business Profile,[PROVIDER NAME] (one row per provider),,,,,,,,,,,,,
1,Apple Maps (Apple Business),[PRACTICE NAME],,,,,,,,,,,,,
1,Bing Places,[PRACTICE NAME],,,,,,,,,,,,,
1,Website - footer and contact page,[PRACTICE NAME],,,,,,,,,,,,,
1,Website - location page(s),[PRACTICE NAME],,,,,,,,,,,,,
1,NPI Registry,[PROVIDER NAME] (one row per provider),,,,,,,,,,,,,
1,NPI Registry,[PRACTICE NAME] (group NPI),,,,,,,,,,,,,
1,CAQH ProView,[PROVIDER NAME] (one row per provider),,,,,,,,,,,,,
1,Insurance directory - [INSURER NAME],[PROVIDER NAME],,,,,,,,,,,,,
1,Healthgrades,[PROVIDER NAME],,,,,,,,,,,,,
1,WebMD Care,[PROVIDER NAME],,,,,,,,,,,,,
1,[TOP SPECIALTY DIRECTORY],[PROVIDER NAME],,,,,,,,,,,,,
2,[PROFESSIONAL SOCIETY DIRECTORY],[PROVIDER NAME],,,,,,,,,,,,,
2,Yelp,[PRACTICE NAME],,,,,,,,,,,,,
2,Facebook page (About info only),[PRACTICE NAME],,,,,,,,,,,,,
2,Hospital Find a Doctor,[PROVIDER NAME],,,,,,,,,,,,,
2,State treatment directory (rehab),[PRACTICE NAME],,,,,,,,,,,,,
2,FindTreatment.gov (if eligible),[PRACTICE NAME],,,,,,,,,,,,,
3,Foursquare,[PRACTICE NAME],,,,,,,,,,,,,
3,Data Axle,[PRACTICE NAME],,,,,,,,,,,,,
3,[OTHER SITE FOUND IN SEARCH],,,,,,,,,,,,,,
3,[OTHER SITE FOUND IN SEARCH],,,,,,,,,,,,,,
